fixture_id,date_utc,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,home_xG_avg,away_xG_avg,home_xGA_avg,away_xGA_avg,home_team_rating,away_team_rating,home_form_points,away_form_points,home_win_streak,away_win_streak,rest_days_home,rest_days_away,h2h_home_wins,h2h_away_wins,key_players_missing_home,key_players_missing_away,match_importance
1379021,2025-09-27 14:00:00+00:00,49,Chelsea,51,Brighton,1,3,1.975,1.5250000000000001,0.8400000000000001,1.525,7.008080808080808,6.711818181818183,8.0,5.0,,,6.895833333333333,7.0,0,0,0,0,1.0
1379022,2025-09-27 14:00:00+00:00,52,Crystal Palace,40,Liverpool,2,1,1.435,1.67,0.645,0.5549999999999999,7.06,7.014545454545454,9.0,15.0,,,7.0,7.104166666666667,0,0,0,0,1.0
1379023,2025-09-29 19:00:00+00:00,45,Everton,48,West Ham,1,1,1.84,1.49,1.485,0.7050000000000001,6.95090909090909,6.6036363636363635,7.0,3.0,,,9.3125,9.208333333333334,0,0,0,1,1.0
1379024,2025-09-27 14:00:00+00:00,63,Leeds,35,Bournemouth,2,2,1.41,1.645,0.63,1.2,6.6872727272727275,6.876363636363637,7.0,10.0,,,7.0,6.041666666666667,0,0,0,0,1.0
1379025,2025-09-27 14:00:00+00:00,50,Manchester City,44,Burnley,5,1,2.09,1.0699999999999998,1.315,2.9299999999999997,7.074545454545455,6.714545454545454,7.0,4.0,,,5.9375,7.0,0,0,0,0,1.0
1379026,2025-09-28 15:30:00+00:00,34,Newcastle,42,Arsenal,1,2,1.2650000000000001,0.9,0.595,1.02,6.961818181818181,7.123454545454545,6.0,10.0,,,7.104166666666667,7.0,0,0,1,0,1.0
1379027,2025-09-27 16:30:00+00:00,65,Nottingham Forest,746,Sunderland,0,1,1.295,0.565,1.96,1.385,6.705454545454546,6.898181818181818,5.0,8.0,,,7.104166666666667,6.145833333333333,0,0,0,0,1.0
1379028,2025-09-27 19:00:00+00:00,47,Tottenham,39,Wolves,1,1,1.255,0.48,1.2650000000000001,1.42,7.094545454545454,6.585454545454546,10.0,0.0,,,7.208333333333333,7.208333333333333,0,0,0,0,1.0
1379029,2025-10-04 14:00:00+00:00,42,Arsenal,48,West Ham,2,0,1.87,1.805,0.41333333333333333,0.73,7.0707272727272725,6.652727272727273,10.0,4.0,,0.0,5.9375,4.791666666666667,0,0,0,1,1.0
1379030,2025-10-05 13:00:00+00:00,66,Aston Villa,44,Burnley,2,1,1.125,0.8049999999999999,1.785,2.785,6.710909090909091,6.658181818181818,5.0,4.0,1.0,0.0,7.0,7.958333333333333,0,0,1,1,1.0
1379031,2025-10-03 19:00:00+00:00,35,Bournemouth,36,Fulham,3,1,1.0666666666666667,0.97,0.4066666666666667,1.73,6.916363636363636,6.829090909090908,11.0,7.0,,0.0,6.208333333333333,5.25,0,0,0,0,1.0
1379032,2025-10-05 15:30:00+00:00,55,Brentford,50,Manchester City,0,1,1.5633333333333332,1.3550000000000002,1.5033333333333332,1.59,6.794545454545454,7.038181818181817,7.0,7.0,1.0,,8.166666666666666,8.0625,0,0,0,0,1.0
1379033,2025-10-04 16:30:00+00:00,49,Chelsea,40,Liverpool,2,1,2.08,1.8266666666666669,1.65,1.343333333333333,6.918989898989899,6.918181818181819,7.0,12.0,0.0,0.0,7.104166666666667,7.104166666666667,0,0,1,1,1.0
1379034,2025-10-05 13:00:00+00:00,45,Everton,52,Crystal Palace,2,1,1.47,2.48,1.3866666666666667,0.8999999999999999,7.014545454545454,7.038181818181817,8.0,11.0,0.0,,5.75,7.958333333333333,0,0,1,0,1.0
1379035,2025-10-04 11:30:00+00:00,63,Leeds,47,Tottenham,1,2,1.2650000000000001,1.2066666666666668,0.64,1.1566666666666667,6.705454545454545,6.936363636363636,5.0,8.0,0.0,,6.895833333333333,6.6875,0,0,0,0,1.0
1379036,2025-10-04 14:00:00+00:00,33,Manchester United,746,Sunderland,2,0,2.6900000000000004,0.7733333333333333,0.815,1.4733333333333334,6.774545454545455,6.92,7.0,8.0,,1.0,7.104166666666667,6.895833333333333,0,0,0,0,1.0
1379037,2025-10-05 13:00:00+00:00,34,Newcastle,65,Nottingham Forest,2,0,1.0466666666666666,0.7433333333333335,1.0766666666666667,1.2633333333333334,6.925454545454545,6.618181818181819,5.0,2.0,0.0,,6.895833333333333,7.854166666666667,0,0,1,0,1.0
1379038,2025-10-05 13:00:00+00:00,39,Wolves,51,Brighton,1,1,1.445,1.7766666666666666,1.2049999999999998,1.62,6.692727272727272,6.69,1.0,7.0,,1.0,7.75,7.958333333333333,0,0,1,1,1.0
