fixture_id,team_id,team_name,player_id,player_name,minutes,number,position,rating,captain,starter,shots_total,shots_on,goals,assists,passes_total,passes_key,passes_accuracy,tackles_total,blocks,interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow,red
1378969,40,Liverpool,280,Alisson,90,1,G,6.3,False,True,,,,0,38,,33,,,,,,,,,,0,0
1378969,40,Liverpool,152654,Jeremie Frimpong,60,30,D,6.9,False,True,,,,0,16,,12,1,,1,4,3,1,1,1,,0,0
1378969,40,Liverpool,1145,Ibrahima Konaté,90,5,D,6.5,False,True,,,,0,33,,29,,1,,4,2,2,2,,,0,0
1378969,40,Liverpool,290,Virgil van Dijk,90,4,D,7.7,True,True,2,1,,0,74,,63,1,1,2,14,13,,,,,0,0
1378969,40,Liverpool,206254,Miloš Kerkez,60,6,D,6.9,False,True,,,,0,29,,27,1,,,10,4,,,1,1,1,0
1378969,40,Liverpool,1096,Dominik Szoboszlai,90,8,M,6.9,False,True,3,1,,0,75,2,66,4,,,11,6,2,1,1,2,0,0
1378969,40,Liverpool,6716,Alexis Mac Allister,72,10,M,6.9,False,True,1,1,,1,46,1,40,3,,1,10,5,1,,1,2,0,0
1378969,40,Liverpool,306,Mohamed Salah,90,11,M,8.5,False,True,2,2,1,0,30,2,18,,1,,5,2,2,1,1,,0,0
1378969,40,Liverpool,203224,Florian Wirtz,82,7,M,6.6,False,True,1,,,0,51,3,38,2,,,10,3,,,1,,0,0
1378969,40,Liverpool,247,Cody Gakpo,90,18,M,8.6,False,True,3,2,1,0,29,3,21,1,,,23,12,7,2,3,1,0,0
1378969,40,Liverpool,174565,Hugo Ekitiké,72,22,F,8.0,False,True,4,2,1,1,21,2,14,,,,11,5,2,1,,1,0,0
1378969,40,Liverpool,289,Andrew Robertson,31,26,D,6.3,False,False,,,,0,9,,6,,,,3,1,,,,,0,0
1378969,40,Liverpool,8500,Wataru Endo,31,3,M,6.9,False,False,,,,1,17,1,16,2,,,4,3,,,,,0,0
1378969,40,Liverpool,284,Joe Gomez,19,2,D,6.5,False,False,,,,0,7,,6,,,,,,,,,,0,0
1378969,40,Liverpool,293,Curtis Jones,19,17,M,6.9,False,False,,,,0,11,1,9,,,,4,2,,,,,0,0
1378969,40,Liverpool,30410,Federico Chiesa,9,14,F,7.6,False,False,1,1,1,0,3,,3,1,,,2,2,,,1,,0,0
1378969,40,Liverpool,24760,Giorgi Mamardashvili,,25,G,,False,False,,,,,,,,,,,,,,,,,0,0
1378969,40,Liverpool,19035,Harvey Elliott,,19,M,,False,False,,,,,,,,,,,,,,,,,0,0
1378969,40,Liverpool,397997,Trey Nyoni,,42,M,,False,False,,,,,,,,,,,,,,,,,0,0
1378969,40,Liverpool,452685,Rio Ngumoha,,73,F,,False,False,,,,,,,,,,,,,,,,,0,0
1378969,35,Bournemouth,118307,Đorđe Petrović,90,1,G,7.5,False,True,,,,0,35,,22,,,,,,,,,,0,0
