fixture_id,minute,minute_extra,team_id,team_name,type,detail,player_id,player_name,assist_id,assist_name
1378969,14,,35,Bournemouth,Card,Yellow Card,18870,David Brooks,,
1378969,37,,40,Liverpool,Goal,Normal Goal,174565,H. Ekitike,6716,A. Mac Allister
1378969,43,,40,Liverpool,Card,Yellow Card,206254,Miloš Kerkez,,
1378969,49,,40,Liverpool,Goal,Normal Goal,247,C. Gakpo,174565,H. Ekitike
1378969,60,,40,Liverpool,subst,Substitution 1,152654,J. Frimpong,8500,W. Endo
1378969,60,,40,Liverpool,subst,Substitution 2,206254,M. Kerkez,289,A. Robertson
1378969,64,,35,Bournemouth,Goal,Normal Goal,19281,A. Semenyo,18870,D. Brooks
1378969,72,,40,Liverpool,subst,Substitution 3,174565,H. Ekitike,284,J. Gomez
1378969,72,,40,Liverpool,subst,Substitution 4,6716,A. Mac Allister,293,C. Jones
1378969,74,,35,Bournemouth,subst,Substitution 1,304853,A. Scott,31057,H. J. Traore
1378969,76,,35,Bournemouth,Goal,Normal Goal,19281,A. Semenyo,31057,H. J. Traore
1378969,81,,35,Bournemouth,Card,Yellow Card,152856,Evanilson,,
1378969,82,,40,Liverpool,subst,Substitution 5,203224,F. Wirtz,30410,F. Chiesa
1378969,84,,35,Bournemouth,subst,Substitution 2,18870,D. Brooks,402432,B. Winterburn
1378969,88,,40,Liverpool,Goal,Normal Goal,30410,F. Chiesa,,
1378969,90,1,35,Bournemouth,subst,Substitution 3,1150,T. Adams,368030,E. J. Kroupi
1378969,90,,35,Bournemouth,subst,Substitution 4,18869,A. Smith,20093,J. Hill
1378969,90,,40,Liverpool,Goal,Normal Goal,306,M. Salah,8500,W. Endo
1378970,45,,34,Newcastle,Card,Yellow Card,723,Joelinton,,
1378970,58,,66,Aston Villa,Card,Yellow Card,1904,Boubacar Kamara,,
1378970,66,,66,Aston Villa,Card,Red Card,19354,Ezri Konsa,,
1378970,78,,34,Newcastle,subst,Substitution 1,153430,A. Elanga,19163,J. Murphy
1378970,83,,34,Newcastle,subst,Substitution 2,723,Joelinton,328105,L. Miley
1378970,84,,66,Aston Villa,subst,Substitution 1,19191,J. McGinn,249,D. Malen
1378970,90,,34,Newcastle,subst,Substitution 3,18778,H. Barnes,315237,W. Osula
1378971,31,,36,Fulham,Card,Yellow Card,152967,Calvin Bassey,,
1378971,55,,51,Brighton,Goal,Penalty,19030,M. O'Riley,,
1378971,60,,51,Brighton,Card,Yellow Card,106835,Kaoru Mitoma,,
1378971,66,,36,Fulham,subst,Substitution 1,2887,R. Jimenez,195106,Rodrigo Muniz
1378971,66,,36,Fulham,subst,Substitution 2,1934,S. Berge,19025,T. Cairney
1378971,66,,36,Fulham,subst,Substitution 3,1455,A. Iwobi,18753,A. Traore
1378971,69,,51,Brighton,subst,Substitution 1,90590,G. Rutter,1469,D. Welbeck
1378971,69,,51,Brighton,subst,Substitution 2,383685,Y. Minteh,1361,F. Kadioglu
1378971,69,,51,Brighton,subst,Substitution 3,356041,C. Baleba,278370,D. Gomez
1378971,73,,51,Brighton,Card,Yellow Card,1361,Ferdi Kadıoğlu,,
1378971,77,,36,Fulham,subst,Substitution 4,389315,J. King,1161,E. Smith Rowe
1378971,78,,51,Brighton,Card,Yellow Card,278370,Diego Gómez,,
1378971,83,,51,Brighton,subst,Substitution 4,106835,K. Mitoma,328225,B. Gruda
1378971,84,,36,Fulham,subst,Substitution 5,131,J. Cuenca,2920,T. Castagne
1378971,88,,51,Brighton,subst,Substitution 5,19030,M. O'Riley,296,J. Milner
1378971,90,8,36,Fulham,Card,Yellow Card,195106,Rodrigo Muniz,,
1378971,90,3,36,Fulham,Card,Yellow Card,19025,Tom Cairney,,
1378971,90,,36,Fulham,Goal,Normal Goal,195106,Rodrigo Muniz,,
1378972,5,,65,Nottingham Forest,Goal,Normal Goal,18931,C. Wood,,
1378972,42,,65,Nottingham Forest,Goal,Normal Goal,48648,D. Ndoye,18746,M. Gibbs-White
1378972,45,,65,Nottingham Forest,Goal,Normal Goal,18931,C. Wood,138908,E. Anderson
1378972,46,,55,Brentford,subst,Substitution 1,319517,A. Milambo,178077,K. Schade
1378972,52,,55,Brentford,Card,Yellow Card,19495,Nathan Collins,,
1378972,53,,65,Nottingham Forest,Card,Yellow Card,138780,Neco Williams,,
1378972,69,,55,Brentford,subst,Substitution 2,47438,M. Jensen,292,J. Henderson
